1	0.04065468
7	0.041248958
29	0.042056739
121	0.043180644
212	0.041656426
302	0.040142893
392	0.038974834
485	0.038070104
576	0.03751843
666	0.037234132
731	0.037905821
1098	0.038136525
1462	0.038821225
1827	0.039674736
2192	0.04057339
2557	0.041484486
2922	0.042365927
3289	0.043170028
3653	0.043923167
4018	0.044595383
4383	0.045183552
4749	0.045683556
5116	0.046120836
5480	0.046488118
5844	0.046795366
6210	0.047041296
6575	0.047243864
6940	0.047401481
7307	0.047520528
7671	0.047599555
8036	0.04765443
8401	0.047680749
8766	0.047680837
9134	0.047651791
9498	0.04760756
9862	0.047545117
10227	0.047466895
10593	0.047371404
10958	0.047271296
11325	0.047164041
11689	0.047052227
12054	0.046931196
12419	0.04680957
12784	0.046684012
13149	0.046555196
13516	0.046419711
13880	0.046287176
14245	0.046153437
14610	0.046019833
14976	0.045883733
15343	0.045751244
15707	0.045620426
16071	0.045489829
16437	0.045355625
16802	0.045224228
17167	0.045092094
17534	0.044958127
17898	0.044821362
18263	0.04468506
